student_id,cs_grades,math_grades
1,77.26,87.93
2,70.03,75.94
3,72.42,56.0
4,68.16,80.89
5,84.09,66.8
6,83.16,60.26
7,81.26,72.66
8,83.57,84.24
9,84.29,75.94
10,79.04,61.09
11,86.9,70.83
12,78.76,72.94
13,77.92,72.4
14,85.42,79.8
15,69.26,76.62
16,100.0,79.81
17,68.32,75.94
18,68.63,79.46
19,85.44,82.27
20,62.65,87.43
21,83.54,79.92
22,71.55,68.94
23,68.99,60.99
24,73.26,91.84
25,90.18,82.99
26,64.06,78.7
27,86.62,67.95
28,82.41,75.14
29,71.1,75.18
30,77.93,74.56
31,93.23,86.93
32,91.09,64.04
33,85.54,96.48
34,86.33,58.32
35,63.42,77.1
36,72.66,75.22
37,84.27,64.51
38,71.8,68.83
