student_id,math_grades,cs_grades
1,58.72,85.93
2,83.71,76.98
3,94.07,86.04
4,71.03,97.99
5,73.51,78.46
6,75.03,82.52
7,82.28,70.57
8,80.45,72.64
9,80.97,100.0
10,76.41,73.92
11,74.29,68.81
12,100.0,64.29
13,68.48,100.0
14,69.27,90.98
15,75.53,77.06
16,74.55,62.32
17,96.88,61.97
18,56.0,94.84
19,62.28,86.41
20,69.96,84.02
21,87.34,98.06
22,81.62,67.18
23,88.89,87.45
24,72.39,72.01
25,85.22,67.7
26,72.65,78.33
27,69.57,92.23
28,86.42,90.34
29,84.4,86.35
30,72.85,93.52
31,79.46,90.32
32,68.91,77.06
33,81.05,75.54
34,93.9,66.58
